"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Step Over","Alt+6","Debugging"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Navigate","Next Page","Alt+F7","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Window","Activate Editor","F12","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Project","Make Target Build","Shift+F9","In Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
